movie_name,month,year,ratings,user_vote,genres,country
Baby Driver,6.0,2017.0,7.5,613000,,
Baby Mama,4.0,2008.0,6.0,48000,,
Babylon A.D.,8.0,2008.0,5.5,99000,,
Bachelorette,9.0,2012.0,5.3,49000,,
Bad Boys II,7.0,2003.0,6.6,268000,,
Bad Company,6.0,2002.0,5.6,50000,,
Bad Education,11.0,2004.0,7.4,63000,,Spain
Bad Lieutenant: Port of Call New Orleans,11.0,2009.0,6.6,81000,,
Bad Moms,7.0,2016.0,6.2,135000,,
Bad News Bears,7.0,2005.0,5.8,23000,,United States
Bad Santa,11.0,2003.0,7.1,155000,,
Bad Santa 2,11.0,2016.0,5.6,29000,,
Bad Teacher,6.0,2011.0,5.7,213000,,
Bad Times at the El Royale,10.0,2018.0,7.1,165000,,
Bad Words,3.0,2014.0,6.6,55000,,
Baggage Claim,9.0,2013.0,5.1,97000,,
Bait,9.0,2000.0,5.7,13000,Action Comedy Crime Thriller,
Ballerina,1.0,2009.0,7.3,421,,
Ballistic: Ecks vs. Sever,9.0,2002.0,3.7,21000,,United States Germany
Bandits,10.0,2001.0,6.5,71000,,
Bandslam,8.0,2009.0,6.3,15000,,
Bangkok Dangerous,9.0,2008.0,5.3,58000,,
Banlieue 13,6.0,2006.0,,,,
Barbershop,9.0,2002.0,6.3,34000,,
Barbershop 2: Back in Business,2.0,2004.0,5.7,16000,,
Barbershop: The Next Cut,4.0,2016.0,5.9,16000,,
Barbie,7.0,2023.0,6.8,540000,,
Barney's Version,1.0,2011.0,7.3,26000,,
Barnyard,8.0,2006.0,5.6,35000,,United States Germany
Barnyard: The Original Party Animals,8.0,2006.0,,,,
Basic,3.0,2003.0,6.4,67000,,
Basic Instinct 2,3.0,2006.0,4.4,42000,,
Batman Begins,6.0,2005.0,8.2,16000000,,
Batman v Superman: Dawn of Justice,3.0,2016.0,6.5,753000,,
Battle Los Angeles,3.0,2011.0,5.7,185000,,United States
Battle of the Sexes,9.0,2017.0,6.7,60000,,
Battle of the Year,9.0,2013.0,5.0,97000,,
Battle: Los Angeles,3.0,2011.0,,,,
Battlefield Earth: A Saga of the Year 3000,5.0,2000.0,,,,
Battleship,5.0,2012.0,5.8,258000,,
Baywatch,5.0,2017.0,5.5,202000,,
Be Cool,3.0,2005.0,5.6,72000,,
Be Kind Rewind,2.0,2008.0,6.4,94000,,
Beastly,3.0,2011.0,5.5,80000,,
Beasts of the Southern Wild,6.0,2012.0,7.2,85000,,
Beau is Afraid,4.0,2023.0,,,,
Beautiful Boy,10.0,2018.0,7.4,100000,,
Beautiful Creatures,2.0,2013.0,6.1,91000,,
Beauty Shop,3.0,2005.0,5.6,19000,,
Beauty and the Beast,3.0,2017.0,7.1,335000,,
Because I Said So,2.0,2007.0,5.6,40000,,
Because of Winn-Dixie,2.0,2005.0,6.4,13000,,
Becoming Jane,8.0,2007.0,7.0,65000,,
Bedazzled,10.0,2000.0,6.1,112000,,
Bedtime Stories,12.0,2008.0,6.0,101000,,
Bee Movie,11.0,2007.0,6.1,180000,,
Bee Season,11.0,2005.0,5.5,72000,,Germany United States
Beerfest,8.0,2006.0,6.2,71000,,
Before I Fall,3.0,2017.0,6.4,57000,,
Before I Go to Sleep,10.0,2014.0,6.3,84000,,
Before Midnight,5.0,2013.0,7.9,172000,,
Before Sunset,7.0,2004.0,8.1,289000,,
Begin Again,6.0,2014.0,7.4,167000,,
Beginners,6.0,2011.0,7.2,95000,,
Behind Enemy Lines,11.0,2001.0,6.4,113000,,
Being Julia,10.0,2004.0,7.0,13000,,Canada United States Hungary United Kingdom
Bella,10.0,2007.0,7.1,11000,,
Ben is Back,12.0,2018.0,,,,
Ben-Hur,8.0,2016.0,5.7,47000,,
Bend it Like Beckham,4.0,2002.0,,,,
Beowulf,11.0,2007.0,6.3,174000,,
Bernie,4.0,2012.0,6.8,64000,,
Best in Show,9.0,2000.0,7.4,67000,,United States
Better Luck Tomorrow,4.0,2003.0,7.0,10000,,United States
Beverly Hills Chihuahua,10.0,2008.0,3.9,26000,,
Bewitched,6.0,2005.0,4.8,76000,,
Beyond Borders,10.0,2003.0,6.4,29000,,
Beyond the Lights,11.0,2014.0,6.8,17000,,
Beyond the Sea,12.0,2004.0,6.7,16000,,United Kingdom Germany United States
Big Eyes,12.0,2014.0,7.0,99000,,
Big Fat Liar,2.0,2002.0,5.5,40000,,
Big Fish,12.0,2003.0,8.0,459000,,
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,4.0,2023.0,,,,
Big Hero 6,11.0,2014.0,7.8,503000,,
Big Miracle,2.0,2012.0,6.5,21000,,
Big Momma's House,6.0,2000.0,5.2,91000,Action Comedy Crime,
Big Momma's House 2,1.0,2006.0,4.8,47000,,
Big Mommas: Like Father Like Son,2.0,2011.0,4.4,30000,,United States
"Big Mommas: Like Father, Like Son",2.0,2011.0,4.4,30000,Action Comedy Crime,
Big Trouble,4.0,2002.0,6.4,22000,,
Bigger Than the Sky,2.0,2005.0,5.9,16000,,United States
Biker Boyz,1.0,2003.0,4.7,14000,,United States
Bikur Ha-Tizmoret,2.0,2008.0,,,,
Billy Elliot,10.0,2000.0,7.7,143000,,
Billy Lynn’s Long Halftime Walk,11.0,2016.0,,,,
Birdman or,1.0,2015.0,,,,
Birdman or (The Unexpected Virtue of Ignorance),10.0,2014.0,7.7,667000,,United States
Birth,10.0,2004.0,6.3,41000,,United Kingdom Germany United States
Birth of the Dragon,8.0,2017.0,5.7,88000,,
Birthday Girl,2.0,2002.0,6.0,26000,,United Kingdom United States
Biutiful,1.0,2011.0,7.4,95000,,
BlacKkKlansman,8.0,2018.0,7.5,292000,,
Black Book,4.0,2007.0,7.7,81000,,Netherlands Germany United Kingdom Belgium
Black Christmas,12.0,2006.0,4.7,31000,,
Black Hawk Down,12.0,2001.0,7.7,424000,,
Black Knight,11.0,2001.0,4.9,43000,,
Black Mass,9.0,2015.0,6.9,193000,,
Black Nativity,11.0,2013.0,4.8,24000,,
