movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Jimmy's Hall,7,2015,None,109,Biography Drama History,PG-13,47,19881,560592,4264592,4825184,
The Beauty Inside,9,2015,None,127,Drama Fantasy Romance,None,23,50536,108083,14193786,14301869,
Carter High,10,2015,None,110,Crime Drama History Sport,PG-13,28,87274,240214,None,240214,
Saving Mr. Wu,10,2015,None,106,Action Crime Drama Thriller,None,24,None,92696,31129465,31222161,
All Things Must Pass,10,2015,None,94,Documentary History Music,None,14,19001,172394,None,172394,
Beasts of No Nation,10,2015,None,137,Drama War,None,31,51003,90777,None,90777,
Hero,9,2015,None,145,Action Drama Musical Romance,None,53,58445,88675,45476859,45565534,
Kahlil Gibran's The Prophet,8,2015,None,85,Animation Drama,PG,37,27435,355343,409155,764498,
A Ballerina's Tale,10,2015,None,85,Documentary,None,16,9388,131995,None,131995,
Nasty Baby,10,2015,None,101,Drama,R,18,8023,79800,972,80772,
Listen to Me Marlon,7,2015,None,103,Biography Documentary,None,38,30068,425831,90506,516337,
Love,10,2015,3000000,135,Drama Romance,None,25,29301,249083,611974,861057,
Freaks of Nature,10,2015,None,92,Comedy Horror Sci-Fi,R,107,42713,70958,None,70958,
Office,9,2015,None,119,Comedy Musical Romance,None,15,34144,63675,8226846,8290521,
Walking with the Enemy,4,2014,None,124,Action Drama History Romance War,PG-13,258,331855,1112592,None,1112592,
Cooties,9,2015,None,88,Action Comedy Horror Sci-Fi Thriller,R,29,33031,60058,425486,485544,
Drunk Stoned Brilliant Dead,9,2015,None,98,Documentary History,None,22,5254,62660,None,62660,
Brooklyn,11,2015,None,117,Drama Romance,PG-13,962,187281,38322743,23753398,62076141,
Island of Lemurs: Madagascar,4,2014,None,39,Adventure Biography Documentary Family Short,None,302,188307,11272213,2794321,14066534,
The Advocate: A Missing Body,10,2015,None,117,Crime Mystery,None,9,19770,50162,7500015,7550177,
Tangerine,7,2015,None,88,Comedy Crime Drama,R,44,60683,702354,112514,814868,
Queen of Earth,8,2015,None,90,Drama Mystery Thriller,None,12,11360,91218,3965,95183,
Love & Mercy,6,2015,None,121,Biography Drama Music,PG-13,791,2122177,12551031,16090745,28641776,
A Girl Walks Home Alone at Night,11,2014,None,101,Drama Horror Romance Thriller,None,19,None,491910,97397,589307,
Shanghai,10,2015,None,105,Crime Drama Mystery Romance Thriller,R,103,26604,46425,None,46425,
Deep Sea,3,2006,None,41,Documentary Short,G,47,700213,46412757,51818148,98230905,
Magic Mike XXL,7,2015,14800000,115,Comedy Drama Music,R,3,376,12857184,66013057,56600000,122613057,
Dragon Blade,9,2015,None,127,Action Drama Fantasy History,R,14,30346,None,122519781,122593849,
Heart of a Dog,10,2015,None,75,Documentary,None,22,13893,420813,55571,476384,
The Cokeville Miracle,6,2015,None,94,Drama Family History Mystery Thriller,PG-13,51,159468,1348456,None,1348456,
Breathe,9,2015,None,91,Drama,None,13,5063,42297,1116398,1158695,
The Gallows,7,2015,100000,81,Horror Mystery Thriller,R,2,720,9808463,22764410,20200000,42964410,
WARx2,9,2015,None,117,Comedy,PG-13,16,30931,2310625,None,2310625,
Prophet's Prey,9,2015,None,101,Biography Documentary History,None,9,5000,39347,None,39347,
I Smile Back,10,2015,None,85,Drama Mystery Romance,R,18,15758,58738,4635,63373,
Red Herring,10,2015,None,91,Crime Drama Mystery Thriller,None,28,27804,49480,None,49480,
Testament of Youth,6,2015,None,129,Biography Drama History War,PG-13,104,53000,1822250,4052633,5874883,
Knock Knock,10,2015,None,99,Crime Thriller,R,22,18623,36336,5530767,5567103,
Finders Keepers,9,2015,None,82,Documentary,R,32,5740,35555,None,35555,
Difret,10,2015,None,99,Biography Crime Drama History,None,4,6777,49667,47538,97205,
Infinitely Polar Bear,6,2015,None,90,Comedy Drama Romance,R,110,47000,1430655,640728,2071383,
Rififi,9,2015,None,118,Crime Drama Thriller,None,2,17396,57749,None,57749,
Tab Hunter Confidential,10,2015,None,90,Biography Documentary,None,9,9945,85812,None,85812,
The Stanford Prison Experiment,7,2015,None,122,Biography Drama History Thriller,R,79,37514,660561,2553,663114,
The Cut,9,2015,None,138,Adventure Drama History Mystery War,None,5,5327,28066,1204074,1232140,
Welcome to Leith,9,2015,None,85,Documentary,None,5,3707,36010,370,36380,
Phantom,8,2015,None,136,Action Drama Thriller,None,93,266756,489984,13186606,13676590,
Paul Taylor: Creative Domain,9,2015,None,86,Biography Documentary,None,7,8150,30168,None,30168,
Quay,8,2015,None,8,Documentary Short,None,2,16995,51858,None,51858,
Cartel Land,7,2015,None,100,Documentary,R,65,15581,704352,441571,1145923,
Heneral Luna,10,2015,None,118,Action Biography History War,R,42,15485,206040,4419599,4625639,
The Keeping Room,9,2015,None,95,Drama Western,R,10,4328,27166,46756,73922,
Cinderella,3,2015,95000000,105,Adventure Drama Family Fantasy Romance,PG,3,848,67877361,201151353,341200000,542351353,
Go Away Mr. Tumor,8,2015,None,85,Comedy Romance,None,18,50036,286639,80320254,80606893,
The Forbidden Room,10,2015,None,130,Comedy Mystery,None,5,None,34404,13678,48082,
Peace Officer,9,2015,None,105,Crime Documentary,None,11,None,26632,None,26632,
Going Away,10,2015,None,95,Drama,None,1,7714,19501,2271388,2290889,
The Third Man,6,2015,None,104,Film-Noir Mystery Thriller,None,13,24832,449191,29754,478945,
Home,3,2015,135000000,94,Adventure Animation Comedy Family Fantasy Sci-Fi,PG,3,801,52107731,177397510,208644097,386041607,
The Challenger,9,2015,None,95,Drama Sport,PG-13,28,12246,19003,None,19003,
Trash,10,2015,None,114,Adventure Crime Drama Mystery Thriller,R,17,10230,17484,4791538,4809022,
Digging for Fire,8,2015,None,85,Comedy Drama,R,30,25000,119364,None,119364,
This Changes Everything,10,2015,None,89,Documentary,None,1,9770,16692,None,16692,
Z for Zachariah,8,2015,None,98,Drama Romance Sci-Fi Thriller,PG-13,29,56902,121461,260378,381839,
Number One Fan,9,2015,None,104,Comedy Drama Thriller,None,1,1023,15549,3635049,3650598,
Memories of the Sword,8,2015,None,120,Action Drama History Romance,None,22,50240,111071,2233991,2345062,
The Wolfpack,6,2015,None,90,Biography Documentary,R,94,43920,1301696,112444,1414140,
A Borrowed Identity,6,2015,None,104,Drama,None,22,10308,281540,649418,930958,
We Come as Friends,8,2015,None,110,Documentary,None,8,None,50921,23712,74633,
Before We Go,9,2015,None,95,Comedy Drama Romance,PG-13,21,18630,37151,425724,462875,
The Pearl Button,10,2015,None,82,Documentary,None,5,None,42166,77587,119753,
The Armor of Light,10,2015,None,88,Documentary News,PG-13,26,None,12267,None,12267,
Olvidados,9,2015,None,112,Drama History War,None,1,2791,24638,None,24638,
Turbo Kid,8,2015,None,93,Action Adventure Comedy Horror Sci-Fi,None,31,31428,67069,None,67069,
What We Do in the Shadows,2,2015,None,86,Comedy Horror,R,154,88940,3469224,3782002,7251226,
Flowers,10,2015,None,99,Drama,None,5,6572,61568,77853,139421,
A Pigeon Sat on a Branch Reflecting on Existence,6,2015,None,101,Comedy Drama Fantasy,PG-13,17,25313,222989,1198422,1421411,
American Sniper,12,2014,58800000,133,Action Biography Drama War,R,3,885,633456,350126372,197500000,547626372,
Fifty Shades of Grey,2,2015,40000000,125,Drama Romance Thriller,R,3,655,85171450,166167230,403484237,569651467,
The SpongeBob Movie: Sponge Out of Water,2,2015,74000000,92,Adventure Animation Comedy Family Fantasy,PG,3,680,55365012,162994032,162192000,325186032,
Kingsman: The Secret Service,2,2015,81000000,129,Action Adventure Comedy Thriller,R,3,282,36206331,128261724,286089822,414351546,
Taken 3,1,2015,48000000,108,Action Adventure Crime Drama Mystery Thriller,PG-13,3,594,39201657,89256424,237222717,326479141,
Paddington,1,2015,55000000,95,Adventure Comedy Family Fantasy,PG,3,355,18966676,76271832,206098303,282370135,
The Imitation Game,11,2014,None,114,Biography Drama Thriller War,PG-13,2,402,479352,91125683,142430025,233555708,
The Wedding Ringer,1,2015,23000000,101,Comedy Romance,R,3,003,20649306,64460211,15339669,79799880,
